,MUN,ID,TIPO,PATFOR,TERR FOR,PATRICOVA,NIV PELIGR,PATIVEL,TIP PROTEC,TIPO PLAN,APROB,LEGIS,FUENTE,PMD,DENOM,CAT CLASE,CAT PROTEC,CAT CATEG,CLASIF,ZONIF,ZONIF DESC,DOT,DOT DESC,USO SUELO,AFECCION,PRR,PRR DENOM,PPRO,PPRO DENOM,PNM,PNM DENOM,PQN,PQN DENOM,ZHUM,ZHUM DENOM,ZEPA,ZEPA DENOM,ZEC,ZEC DENOM,LIC,LIC DENOM,RIESGO,CT,CT TIPO,VP,VP TIPO,DIC USO,DIC DESCRI,NORM URB
83,Rafal,03109A00100156,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
84,Rafal,03109A00100156,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,Cañada de la Senda de Serranos,Cañada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
85,Rafal,03109A00100156,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,Cañada de la Senda de Serranos,Cañada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
86,Rafal,03109A00100185,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
87,Rafal,03109A00100185,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
88,Rafal,03109A00100185,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
89,Rafal,03109A00100185,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,Cañada de la Senda de Serranos,Cañada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
90,Rafal,03109A00100185,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,Cañada de la Senda de Serranos,Cañada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
91,Rafal,03109A00100185,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
92,Rafal,03109A00100185,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,Cañada de la Senda de Serranos,Cañada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
93,Rafal,03109A00100185,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,Cañada de la Senda de Serranos,Cañada,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
94,Rafal,03109A00100110,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
95,Rafal,03109A00100135,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
96,Rafal,03109A00100140,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
97,Rafal,03109A00100141,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2001-12-10,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239977,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03109%20RAFAL/1%20P.%20GENERAL/03109-1000%20PLAN%20GENERAL%202000%200432/3%20NORMAS%20URBANISTICAS/03109-1000%202000%200432%20NORMAS%20URBANISTICAS.pdf
